_1,_2
Iron Mountain/Kingsfd', 5394
Unalaska', 5391
International Falls', 5367
Garden City', 5271
Hays', 5143
Laramie', 5138
Alpena', 5034
Sault Ste. Marie', 4847
Dillingham', 4657
West Yellowstone', 4629
New Haven', 4551
Guam', 4547
Escanaba', 4503
Lewisburg', 4422
Plattsburgh', 4289
Hattiesburg/Laurel', 3926
Devils Lake', 3818
Rockford', 3714
Dickinson', 3651
Niagara Falls', 3421
Pueblo', 3222
Belleville', 2941
Naples', 2872
Watertown', 2816
Martha\'s Vineyard', 2651
Mammoth Lakes', 2522
Victoria', 2521
CONCORD', 2479
Stockton', 2384
Clarksburg/Fairmont', 2365
Moab', 2252
Everett', 2141
Gustavus', 2129
Salina', 2115
Stillwater', 2104
Vernal', 2097
Cape Girardeau', 2069
Visalia', 2039
Tupelo', 1984
Staunton', 1977
Adak Island', 1822
Del Rio', 1814
Provo', 1806
North Platte', 1753
Scottsbluff', 1722
Quincy', 1655
Liberal', 1614
Prescott', 1474
Kinston', 1456
Cheyenne', 1437
Kearney', 1424
Telluride', 1202
Ogdensburg', 1165
Palmdale', 1121
Pierre', 1114
Greenville', 978
Portsmouth', 970
St. Cloud', 942
Saipan', 932
Salem', 880
Pago Pago', 842
Concord', 784
Yakima', 747
Hickory', 696
Moses Lake', 675
St. Augustine', 606
Hyannis', 568
Hagerstown', 463
Topeka', 449
Riverton/Lander', 378
Bullhead City', 364
Dodge City', 353
Sheridan', 331
Ogden', 323
Decatur', 319
Pinehurst/Southern Pines', 317
Lanai', 290
Hoolehua', 288
Owensboro', 284
Tunica', 208
Marathon', 127
Mayaguez', 90
Cold Bay', 80
Williamsport', 66
Aniak', 64
St. Mary\'s', 64
Red River', 46
Farmington', 5
Youngstown/Warren', 2
Fort Collins/Loveland', 1
