_1,_2,_3,_4
1997,10,2,50.0
2008,4,3,137.0
2010,3,6,167.0
2013,1,5,138.0
2014,1,7,206.0
2018,12,3,268.0
2010,8,5,210.0
2008,1,1,191.0
1999,12,5,142.0
2003,5,2,139.0
2011,11,6,78.0
2016,3,5,103.0
2000,11,6,140.0
2002,3,7,87.0
2006,6,1,249.0
2020,5,6,49.0
1997,9,1,82.0
2000,3,7,144.0
2013,9,2,128.0
2008,8,5,323.0
2003,12,6,113.0
2000,12,2,131.0
1997,10,1,38.0
2003,5,4,133.0
2001,4,4,198.0
2005,3,1,117.0
1996,8,1,97.0
2002,1,7,58.0
2012,11,2,88.0
2018,4,2,220.0
2009,8,6,154.0
2017,9,1,209.0
2010,10,3,133.0
2019,2,3,298.0
1996,9,3,131.0
2002,8,1,113.0
2007,11,4,101.0
2012,6,4,210.0
1996,6,6,172.0
2018,5,4,286.0
2017,2,5,147.0
2005,3,7,72.0
2011,11,7,63.0
2020,2,6,132.0
2009,9,7,112.0
2008,1,5,149.0
2011,8,5,159.0
2015,2,7,195.0
1999,5,4,100.0
2007,1,4,173.0
2004,7,1,151.0
1997,10,7,108.0
2000,12,6,218.0
2015,11,1,210.0
2011,3,7,191.0
2020,1,1,148.0
1996,10,1,230.0
2019,11,4,123.0
2017,9,7,94.0
2013,5,2,183.0
2001,4,6,102.0
2005,9,6,97.0
2014,4,5,76.0
2000,7,4,106.0
2003,2,5,206.0
2016,8,2,201.0
2007,5,5,159.0
2004,6,3,293.0
2006,9,6,225.0
2005,6,5,153.0
2005,7,7,169.0
2009,2,5,114.0
2011,1,5,83.0
2020,1,6,171.0
1999,1,5,406.0
1997,12,4,134.0
2007,5,4,293.0
2009,4,5,353.0
2007,3,7,105.0
2012,5,1,116.0
2012,9,2,201.0
1997,8,6,287.0
1996,11,3,234.0
2017,4,7,134.0
2008,5,6,117.0
2007,6,2,435.0
2018,1,1,414.0
2009,11,5,94.0
2015,8,6,190.0
2001,12,1,62.0
2000,1,6,233.0
2018,4,4,59.0
1996,3,3,170.0
1999,1,7,182.0
2011,1,6,71.0
1999,12,1,88.0
2015,12,4,213.0
2006,12,6,186.0
1997,1,6,150.0
1999,3,5,133.0
2002,5,2,70.0
2010,6,7,233.0
1997,5,3,101.0
2006,10,3,238.0
2003,5,1,67.0
1996,7,2,167.0
2001,12,2,100.0
2000,7,2,133.0
2008,6,7,530.0
2015,10,2,49.0
2007,6,5,360.0
2013,6,7,307.0
2020,8,5,64.0
2009,4,7,140.0
2009,8,3,278.0
2003,11,6,75.0
2001,6,4,289.0
2011,11,2,146.0
2013,10,4,135.0
2007,9,1,197.0
2000,9,2,131.0
2002,12,4,148.0
2009,4,6,160.0
1999,5,2,198.0
2013,3,7,194.0
2009,8,5,248.0
2017,10,5,96.0
2001,3,1,133.0
2003,4,4,81.0
2012,1,6,135.0
2013,12,6,204.0
1997,10,3,89.0
2004,1,2,93.0
2019,10,7,244.0
1996,10,3,127.0
2007,2,4,144.0
2001,11,7,87.0
2001,2,2,180.0
1999,3,4,107.0
2001,12,4,63.0
2011,8,6,263.0
2013,8,1,137.0
1996,3,4,84.0
2018,3,5,207.0
2008,8,2,142.0
2001,5,4,145.0
2017,3,4,133.0
1996,9,4,88.0
2015,10,6,109.0
2005,12,4,200.0
2006,10,7,104.0
2012,4,3,54.0
2019,7,6,301.0
1999,6,3,190.0
2001,9,1,130.0
2019,2,7,234.0
2008,4,2,151.0
2006,4,4,170.0
2014,9,1,164.0
2015,11,7,127.0
1996,7,4,101.0
1999,7,2,224.0
2001,11,4,135.0
2020,1,7,94.0
2007,2,3,258.0
2009,12,7,144.0
2006,6,3,178.0
2011,2,7,150.0
2019,6,6,575.0
2000,6,7,269.0
2012,2,6,107.0
2000,7,3,166.0
2002,12,3,215.0
2010,12,4,174.0
2005,4,4,89.0
2004,11,1,233.0
2017,12,5,173.0
2014,1,1,135.0
1997,3,2,104.0
1999,2,1,68.0
1998,2,5,64.0
2003,6,5,138.0
2019,3,6,178.0
1999,10,7,99.0
1999,1,1,207.0
2001,1,7,84.0
2004,1,7,198.0
2020,2,7,106.0
1998,10,2,59.0
2015,2,2,84.0
1997,2,5,228.0
2006,4,2,70.0
2003,3,3,155.0
2009,5,1,129.0
2020,4,6,38.0
2003,7,6,71.0
2015,11,4,138.0
2006,10,1,322.0
2013,11,7,164.0
2004,7,6,148.0
2006,12,5,456.0
2010,9,3,215.0
2007,5,2,246.0
1998,6,7,140.0
2007,6,7,167.0
2008,2,4,152.0
2010,3,1,156.0
1999,8,6,137.0
2004,3,7,100.0
2009,10,5,159.0
2011,3,5,126.0
2000,4,1,98.0
1998,8,6,143.0
2017,5,5,130.0
1999,5,1,355.0
2001,4,5,102.0
2005,12,7,149.0
2001,7,5,83.0
2007,12,2,160.0
2020,6,1,98.0
2001,1,1,135.0
2004,5,5,195.0
1997,5,6,127.0
2002,1,3,145.0
1998,6,1,270.0
2005,9,3,155.0
2000,2,5,364.0
2008,8,1,317.0
2011,6,4,335.0
2013,1,3,180.0
2001,1,5,197.0
2009,1,2,183.0
2005,8,5,153.0
2009,3,7,315.0
1999,3,6,114.0
2003,5,6,59.0
2016,10,3,55.0
2018,12,4,274.0
2003,7,4,186.0
2000,5,1,97.0
2015,6,1,428.0
2016,5,3,220.0
1996,1,6,189.0
1997,12,1,158.0
2002,3,4,64.0
2019,6,4,305.0
2003,9,2,84.0
2019,7,7,217.0
2005,7,3,382.0
1997,4,6,113.0
2019,11,6,134.0
2018,8,3,280.0
2013,11,6,110.0
2012,8,6,194.0
2014,8,4,130.0
2017,3,7,137.0
2018,11,4,294.0
2014,7,1,331.0
2008,12,1,320.0
2012,8,4,206.0
1999,5,6,125.0
2004,4,1,70.0
2009,3,4,214.0
2005,5,5,156.0
2006,3,7,286.0
2007,3,6,155.0
2017,4,3,203.0
2001,6,3,203.0
2008,1,3,156.0
2012,11,4,124.0
2011,3,3,160.0
1999,3,2,146.0
1999,7,1,178.0
2001,10,7,48.0
2000,2,3,72.0
2015,12,1,243.0
2015,5,5,149.0
2005,4,3,81.0
2015,5,3,168.0
2017,10,3,70.0
2011,9,4,251.0
2004,12,4,257.0
2010,6,1,271.0
2001,4,2,83.0
