_1,_2
AS,15312
MQ,22502
OO,62194
VX,5824
YV,16353
G4,6814
HA,6627
WN,109676
AA,73598
YX,25212
DL,71254
UA,45384
9E,18234
OH,22210
B6,24871
EV,20166
F9,9707
NK,14180
