_1,_2
14696,2751750.314900003
12320,60467.14569999997
11587,136434.545
13296,17505968.931500018
11278,120449524.93319996
15016,79719569.98359992
12884,3013308.2533
10208,3615899.7269
10529,44426157.51389995
11603,4380019.088800005
12012,546123.7181000002
11308,1124091.198999999
14938,12865.79500000001
14193,12309916.053400004
11146,2208243.3286999995
10930,311082.363
13541,83797.21140000001
10469,1801105.6518999995
13256,5175750.81829999
12402,7467163.872600058
10329,97745.92999999989
14802,75329.97750000002
10141,236497.63000000006
10713,18199602.83440002
13076,1037296.7310999997
14092,2474.8568999999998
11193,111228523.79439993
11292,378244785.2631002
14082,13926.664799999999
12390,57071.11500000001
13342,44408852.10499997
15454,69842.01999999999
11315,147721.85310000007
14955,124189.08559999995
10279,5978095.254399999
12915,854529.7524999995
11695,962776.2753999986
12448,10939421.125100005
14986,11814253.055100033
14150,214763.38549999995
10849,5453006.94760001
14120,38921.74
14259,739.872
12339,50555969.26649985
10372,1906530.9963000002
14027,54371344.93700001
14828,3930586.7915999996
11503,2866574.0604000054
10434,1416993.786
14489,1734413.6699000024
13851,23447358.625899997
14307,29669986.417400047
11699,260141.14279999989
11140,5220038.4854999995
11977,4902111.427099993
13495,70980419.1431999
10245,178847.36460000015
11122,1166383.0540999998
14475,36.89
14771,288202531.51239926
12319,53600.81760000002
10562,4086.0428999999995
13121,154122.28259999998
14512,72346.80660000001
14006,322732.6550000002
14520,257294.56499999994
16440,6700635.046700003
10800,37604548.367499925
14709,1336151.8824000016
11252,6042970.084600001
13930,438109599.0265006
10926,1614108.1136000005
13388,49940.62500000002
10918,324975.4540000001
12278,9569225.079399996
14689,5450487.718900012
10779,589958.262
10821,154797720.3085002
11413,1486010.6723999996
12951,3080461.6600999967
15070,2803016.4033000013
13988,270913.6380000001
14107,307776529.63040006
10170,1390543.6381000006
10135,3402296.426700004
13367,3075417.891600001
12217,9546704.14800002
14098,4937988.945499999
12892,353268342.6486001
13127,429094.3249999999
13241,569960.2439999997
15048,264888.67669999995
15497,33872.4844
12191,74969703.13509987
10409,33667.539999999986
15249,5139251.192200005
12003,2030358.9176999994
10917,6352.775999999999
15374,78217.54080000005
13832,28365.65500000001
15897,131804.03100000005
14262,11383046.810799982
12945,6505325.472599999
12758,17027360.776000008
11624,728683.4692999991
14025,44415.685000000034
10721,191902775.70869985
12365,1318.7208
12173,89312620.52130023
13459,321603.58919999993
11726,19514.5839
10431,3234999.3507000008
16218,1453808.7603999993
14842,465328.32709999994
14848,41.1
14831,76168376.59589991
11041,708949.4386000007
13931,22679360.510199975
14112,9540.462399999999
13891,42289320.55250006
11697,123913391.02629994
11719,42.885
14812,9090.005000000001
15008,21713.574999999997
12007,699159.9229999995
11076,309468.01500000013
13830,34277401.41560016
15991,1608063.8943000005
15177,33353.07280000003
12982,16125834.009900045
10408,2194045.6709999978
10980,3184819.762599998
11067,732207.8859999998
10268,107566.5756
14893,70975105.68129992
11540,25201005.922100004
10643,613503.7465999998
11721,6376423.2347000055
10590,16593.410000000003
15389,656923.5278999998
10868,8258923.608399991
13184,3031864.004400002
12511,94200.12369999995
14685,15487490.688200003
10666,626543.7807000004
15023,146193.93500000006
13424,476101.6080000001
12436,255743.076
13198,75795387.65359995
14057,103031887.3434
12389,516497.26459999976
12335,197906.18500000003
12954,24096173.632799946
12149,27136.92999999999
10154,337259.77440000005
13264,3109500.314500003
15041,774685.4809999998
11982,1287915.8445000006
13029,1962533.515299999
14113,617643.4840000008
14574,1998270.2639000004
13546,16566.402
12156,1144951.4236999988
13501,5140.68
10754,1409336.053000002
12451,42631191.451399975
10967,79536.88500000007
10158,350340.71650000004
11013,147033.58000000005
11423,10428214.137
14633,1547351.7555999996
15323,1897852.136199999
13244,65428794.05800005
11995,12380203.181400014
14843,36203545.70579999
11525,569179.7790000002
11111,222345.79820000005
11002,367741.98299999995
12323,3061003.1793000014
10781,6518288.151000005
10732,2463850.1386
11259,69673612.59890006
15380,2400627.255500004
11641,1849148.428699999
16869,10872.540000000005
10140,45527858.46059998
12953,169067326.54780003
15569,57006.117600000005
15582,68089.55199999998
15027,637686.8738999999
13795,700967.3863
15370,19813961.083900012
11778,710119.8985
12896,7055464.615999985
11711,244.816
14108,2123836.7894
11996,11161258.102000004
11057,172720530.66969886
10693,71265956.62079997
14109,158180.30500000005
11066,46514075.34739993
14869,178854215.53270048
10257,16062857.079300005
12129,217559.32
14534,10565.745
14492,61740093.25800011
12255,201030.05000000008
14222,133843.0416
11986,16565276.703500004
13204,215430854.9487999
13158,7679552.746900006
10747,1481852.4863999996
12124,115425.24700000006
12519,236029.8149999999
14905,532307.7960000001
11775,5707262.8325999845
15919,5439956.559200002
13303,70982534.52079988
11865,464060.1513000002
14570,31661195.296899967
14100,146371085.39050025
11617,426339.1964000002
13433,1772110.4670999993
13577,5452040.341599997
11027,76723.49000000003
14162,39995.232
15295,1294960.0158000002
11468,50366.10999999998
11233,28181.50400000001
13230,6087949.0056000035
14252,2034785.009799999
10165,178884.192
14960,322214.48920000024
13024,157030.50300000006
13203,317445.20719999983
15502,21052.895700000005
13933,242086.65959999998
14683,56753825.78310006
15411,493840.5657000005
10361,41.38
10599,24714724.693999987
15096,10792038.226199998
11471,312985.7150000002
14814,4662303.745300001
13871,28623034.574600033
14635,50805557.16530003
11003,4108803.7573
11867,93516.85270000002
13377,2846246.4773000022
10561,2037777.419100001
11973,4986953.14440001
11823,3155729.3143000016
12819,6840484.3755999915
12891,396129.2681
14288,117122.04499999997
10423,59600615.875200026
13341,40.635
11042,82770837.75850008
12391,8326760.515800006
15601,51586.946999999986
14314,339.563
12523,12114963.326
12888,179071.6000000001
14783,3166978.9572000043
11630,9931321.760399986
14457,3463575.447400005
15304,126496892.21989982
12397,146555.25969999997
11097,531698.9857000003
11495,124145.62510000002
12992,16207532.660899993
10739,208347.2800000001
11953,2036831.3660999963
12889,258766957.83290023
16101,30044.770000000004
10792,30880373.97919996
13277,3010441.538099997
11092,73256.66
13139,336898.17640000023
11618,248763089.1570006
14254,1348988.8540000003
10874,8831663.794199998
10466,10730.858799999998
10994,18211022.0436
13232,105880745.65840012
11203,678793.9532999995
10333,184083.69
11049,674769.9513000004
11298,287263715.76690155
12197,8628653.301200002
13829,605.9079999999999
10785,5547214.740400002
10155,466106.2767000002
12478,171921876.88760072
15607,773074.1719999998
14237,53681.090000000004
15841,1493979.4498000008
15356,812150.7793999991
15074,66589.38459999998
13502,1285497.2815000003
13061,1165301.2437000005
10558,62563.50079999998
11336,164799.54250000004
11612,1775056.3385999983
12264,116855808.65790002
14524,21085993.74389999
10146,769532.0407999997
10551,1690476.973700002
13873,1777740.652300001
11337,2264591.0556999994
12280,1750265.4083000002
11905,172331.26290000006
12177,244221.34639999998
12094,1580489.6907999988
10620,5512042.772700001
14078,1047606.7786000039
10136,541180.9858000005
15624,6025438.949199987
13347,24872.425000000003
13796,87033721.52519986
10627,3118938.411600001
12441,4592719.951099998
13487,252633835.05810094
14679,132170449.01659985
11638,6358088.0804
11997,283990.88600000006
14122,62273290.899800144
14908,80790001.30130003
10577,245817.25640000016
11481,4549461.936500001
14321,9023183.605300006
14716,16706.05
10299,45809604.60399977
11537,327809.7895000002
12223,210662.83040000006
10581,1575374.6326000004
13034,25653.037500000006
14576,15236620.69850002
11150,1044595.1693999985
12016,1304649.9008999998
14794,1373712.166999999
12363,216413.67000000013
14698,2300463.673100001
11433,246560030.61200136
11288,7163.179999999999
10728,432434.8802000004
12206,5373116.630000002
13344,316964.83999999997
11648,2433743.5400999994
14487,737515.0950000002
11109,14311035.072899994
11884,20463772.287599996
11577,444430.97219999955
11921,2234879.838800001
10631,234910.21000000005
15412,8546883.178799998
15024,6047398.711699996
15401,329945.91069999995
13304,3361.5405000000014
14952,794207.0895999995
12902,60019.29499999999
12899,64692.619999999995
10185,1726070.8648
12250,21939.328599999997
10990,1283201.2100999998
13485,10563850.203999989
11637,4841195.336599996
11447,150478.79999999993
10397,780694756.4604883
10157,1320277.0170000002
14711,396374.8868000001
11415,54124.53679999995
14747,223768070.13449904
10894,38.085
14871,35293.779999999984
13290,181183.88180000006
14674,323338.4387
11980,84371.82809999997
13486,3048964.8082999964
13970,1781241.7983000013
13422,5963591.76499999
14256,1486861.134400001
13360,4803629.5384
