2006,9,73.78,76.83,75.23
2006,10,77.5,75.29,76.5
2006,11,77.98,75.87,77.05
2006,12,76.57,76.75,76.65
2007,1,72.3,75.56,73.77
2007,2,75.71,72.04,74.06
2007,3,81.57,80.23,80.97
2007,4,81.38,78.71,80.17
2007,5,81.27,78.97,80.22
2007,6,86.24,84.15,85.27
2007,7,86.24,84.86,85.6
2007,8,84.89,82.95,83.98
2007,9,75.61,78.04,76.76
2007,10,78.45,77.71,78.12
2007,11,77.66,76.79,77.27
2007,12,75.6,77.05,76.26
2008,1,72.95,75.84,74.29
2008,2,75.91,71.14,73.7
2008,3,82.19,79.96,81.17
2008,4,80.09,75.37,77.85
2008,5,81.34,77.96,79.73
2008,6,84.24,81.55,82.95
2008,7,84.11,83.01,83.58
2008,8,83.35,82.37,82.88
2008,9,76.07,74.7,75.39
2008,10,79.76,75.68,77.8
2008,11,75.89,73.99,74.99
2008,12,79.17,76.55,77.91
2009,1,72.82,73.52,73.16
2009,2,75.28,68.77,72.21
2009,3,81.08,73.79,77.65
2009,4,82.1,76.45,79.38
2009,5,81.32,75.51,78.53
2009,6,85.37,80.64,83.09
2009,7,87.09,83.85,85.51
2009,8,84.97,84.56,84.77
2009,9,79.42,79.81,79.61
2009,10,82.22,81.34,81.8
2009,11,79.17,77.62,78.45
2009,12,79.87,80.92,80.37
2010,1,74.89,78.04,76.41
2010,2,77.35,74.44,75.96
2010,3,83.39,80.48,82.03
2010,4,82.55,79.36,81.06
2010,5,82.51,82.08,82.3
2010,6,86.32,86.08,86.21
2010,7,86.9,86.53,86.72
2010,8,85.2,85.51,85.35
2010,9,79.81,82.88,81.31
2010,10,83.32,82.38,82.86
2010,11,81.19,78.09,79.73
2010,12,80.85,80,80.44
2011,1,76.55,76.92,76.73
2011,2,77.92,71.97,75.01
2011,3,82.7,76.66,79.81
2011,4,82.13,78.86,80.52
2011,5,84.58,82.12,83.37
2011,6,85.98,84.96,85.48
2011,7,87.14,86.05,86.6
2011,8,85.59,85.2,85.39
2011,9,81.82,81.07,81.44
2011,10,83.63,79.49,81.56
2011,11,83.48,77.67,80.66
2011,12,81.11,79.27,80.21
2012,1,78.02,77.77,77.89
2012,2,78.9,72.53,75.75
2012,3,84.43,79.82,82.19
2012,4,83.61,80.59,82.12
2012,5,84.45,82.28,83.36
2012,6,86.62,86.91,86.77
2012,7,86.83,86.33,86.58
2012,8,86.61,86.3,86.45
2012,9,80.64,83.25,81.98
2012,10,84.23,81.28,82.75
2012,11,82.78,79.43,81.15
2012,12,81.54,80.84,81.19
2013,1,78.89,79.17,79.03
2013,2,80.77,75.35,78.07
2013,3,84.99,82.07,83.56
