_1,_2,_3,_4
2018,4,2,21661
2009,8,6,21460
2017,9,1,13093
2010,10,3,19328
2019,2,3,26406
1996,9,3,22156
2002,8,1,19108
2007,11,4,27579
2012,6,4,21344
1996,6,6,23862
2018,5,4,34998
2017,2,5,17290
2005,3,7,23739
2011,11,7,14708
2020,2,6,13578
2009,9,7,14954
2008,1,5,30622
2011,8,5,19143
2015,2,7,17854
1999,5,4,24512
2007,1,4,30993
2004,7,1,27135
1997,10,7,21899
2000,12,6,28015
2015,11,1,19606
2011,3,7,22256
2020,1,1,16528
1996,10,1,22849
2019,11,4,18365
2017,9,7,10036
2013,5,2,19019
2001,4,6,15193
2005,9,6,11625
2014,4,5,19717
2000,7,4,24786
2003,2,5,26112
2016,8,2,22205
2007,5,5,32033
2004,6,3,37613
2006,9,6,24597
2005,6,5,31023
2005,7,7,32804
2009,2,5,22530
2011,1,5,20386
2020,1,6,18395
1999,1,5,33020
1997,12,4,23048
2007,5,4,39046
2009,4,5,24046
2007,3,7,27543
2012,5,1,18000
2012,9,2,17664
1997,8,6,22033
1996,11,3,22004
2017,4,7,21697
2008,5,6,22165
2007,6,2,35514
2018,1,1,57762
2009,11,5,13552
2015,8,6,17056
2001,12,1,15836
2000,1,6,15984
2018,4,4,19853
1996,3,3,23715
1999,1,7,27856
2011,1,6,16866
1999,12,1,23189
2015,12,4,21101
2006,12,6,33515
1997,1,6,22645
1999,3,5,22666
2002,5,2,13869
2010,6,7,23564
1997,5,3,17197
2006,10,3,31903
2003,5,1,16808
1996,7,2,28938
2001,12,2,13446
2000,7,2,18979
2008,6,7,39173
2015,10,2,9404
2007,6,5,46936
2013,6,7,33708
2020,8,5,6674
2009,4,7,21116
2009,8,3,22534
2003,11,6,18363
2001,6,4,27795
2011,11,2,21337
2013,10,4,27019
2007,9,1,23588
2000,9,2,19937
2002,12,4,21363
2009,4,6,15371
1999,5,2,20835
2013,3,7,26420
2009,8,5,24435
2017,10,5,16414
2001,3,1,21363
2003,4,4,16766
2012,1,6,11308
2013,12,6,24937
1997,10,3,23556
2004,1,2,24295
2019,10,7,20831
1996,10,3,27599
2007,2,4,38428
2001,11,7,15086
2001,2,2,23091
1999,3,4,21134
2001,12,4,23172
2011,8,6,16562
2013,8,1,22135
1996,3,4,24502
2018,3,5,26370
2008,8,2,22967
2001,5,4,28045
2017,3,4,22893
1996,9,4,25663
2015,10,6,12266
2005,12,4,44090
2006,10,7,34551
2012,4,3,11855
2019,7,6,20009
1999,6,3,30974
2001,9,1,13418
2019,2,7,20568
2008,4,2,28212
2006,4,4,26780
2014,9,1,22330
2015,11,7,19034
1996,7,4,21156
1999,7,2,22431
2001,11,4,19048
2020,1,7,15916
2007,2,3,30717
2009,12,7,26076
2006,6,3,32059
2011,2,7,17638
2019,6,6,28377
2000,6,7,27468
2012,2,6,12008
2000,7,3,23837
2002,12,3,18534
2010,12,4,31488
2005,4,4,21994
2004,11,1,33952
2017,12,5,23411
2014,1,1,19683
1997,3,2,21447
1999,2,1,16840
1998,2,5,21277
2003,6,5,24717
2019,3,6,23549
1999,10,7,26385
1999,1,1,24805
2001,1,7,18802
2004,1,7,28073
2020,2,7,13824
1998,10,2,16379
2015,2,2,19896
1997,2,5,31341
2006,4,2,21488
2003,3,3,18395
2009,5,1,20279
2020,4,6,1601
2003,7,6,13883
2015,11,4,16015
2006,10,1,34272
2013,11,7,15707
2004,7,6,27554
2006,12,5,47308
2010,9,3,19936
2007,5,2,31480
1998,6,7,20980
2007,6,7,32225
2008,2,4,30536
2010,3,1,28401
1999,8,6,17705
2004,3,7,23571
2009,10,5,35204
2011,3,5,20256
2000,4,1,23942
1998,8,6,17835
2017,5,5,22642
1999,5,1,27051
2001,4,5,25195
2005,12,7,28967
2001,7,5,21607
2007,12,2,25790
2020,6,1,4694
2001,1,1,28588
2004,5,5,31626
1997,5,6,17250
2002,1,3,24196
1998,6,1,28238
2005,9,3,19155
2000,2,5,30717
2008,8,1,25562
2011,6,4,32471
2013,1,3,26084
2001,1,5,29118
2009,1,2,20867
2005,8,5,31312
2009,3,7,31480
1999,3,6,16789
2003,5,6,15068
2016,10,3,11881
2018,12,4,29111
2003,7,4,28778
2000,5,1,23587
2015,6,1,27992
2016,5,3,15359
1996,1,6,20208
1997,12,1,31593
2002,3,4,17910
2019,6,4,30282
2003,9,2,17906
2019,7,7,25413
2005,7,3,32132
1997,4,6,18218
2019,11,6,18770
2018,8,3,31804
2013,11,6,15744
2012,8,6,17655
2014,8,4,21901
2017,3,7,16608
2018,11,4,28186
2014,7,1,24069
2008,12,1,40958
2012,8,4,27147
1999,5,6,16579
2004,4,1,25230
2009,3,4,21311
2005,5,5,26117
2006,3,7,29535
2007,3,6,33362
2017,4,3,17430
2001,6,3,24520
2008,1,3,33671
2012,11,4,17251
2011,3,3,27139
1999,3,2,20739
1999,7,1,22255
2001,10,7,15428
2000,2,3,18882
2015,12,1,19378
2015,5,5,22099
2005,4,3,19388
2015,5,3,18792
2017,10,3,12508
2011,9,4,24400
2004,12,4,40422
2010,6,1,24273
2001,4,2,19676
1999,2,4,22502
1999,2,6,13922
2013,1,7,16791
2008,8,6,24300
2007,3,4,44099
2016,2,7,9710
2007,2,7,29750
2008,1,2,35881
2013,1,1,17564
2010,10,6,13652
1999,10,1,19937
2001,9,6,15379
1998,6,3,23145
2011,1,7,23811
2018,1,6,22154
2018,10,2,22689
1997,8,2,21384
2005,8,4,31427
2012,12,6,21446
1997,8,4,23817
2012,6,6,18972
2018,10,6,15141
2018,7,2,32596
2008,10,4,21939
2017,8,2,21842
2001,4,7,26374
1998,11,1,22993
2011,4,1,26050
2012,10,1,24601
2005,10,6,17619
2015,3,7,23292
2011,2,6,17440
2020,3,4,12593
2006,5,3,33681
2019,6,7,36290
2013,5,4,32120
2000,12,5,40678
2017,8,4,28673
2000,2,2,21608
2015,8,2,20744
2010,9,6,10394
2015,4,2,14663
2013,11,1,17800
2003,2,2,19568
2011,5,4,25135
1997,12,3,29620
2012,7,5,25422
2016,8,1,26047
2014,5,1,19897
2009,12,2,31089
2015,1,4,21898
2000,6,6,20161
2018,1,3,46432
2012,2,4,14160
2018,7,1,34615
2008,9,3,13629
2013,4,6,12243
1999,2,5,22067
2020,2,4,27677
2008,1,7,27895
2011,2,3,15127
2017,5,3,23553
2002,3,2,17218
2020,3,6,9288
2008,10,7,17377
2012,8,7,21016
2013,6,1,30463
2008,11,7,26965
2008,2,1,32240
2009,1,1,24278
2001,12,6,19255
2008,5,1,23572
2015,9,3,15961
2008,11,4,18572
2003,6,4,26107
2012,4,1,20651
1998,8,4,20493
2011,6,5,24192
2013,7,4,23653
2019,5,5,31267
2003,9,6,8964
1996,8,7,23105
2000,9,3,17632
1997,12,7,21893
2008,7,1,29765
2018,10,3,20482
1996,4,7,19099
1999,6,6,19549
2002,6,1,17956
2006,5,1,31450
2009,10,3,23365
2003,9,4,19419
2006,5,6,15456
2012,11,3,14820
2002,1,1,16414
1996,7,7,22772
2006,5,2,27750
2015,1,7,21456
2001,8,2,19380
2010,10,4,19643
2006,2,2,19564
2016,1,6,12924
1998,8,3,19393
2000,8,6,20597
2006,9,7,26438
2005,6,4,40281
1996,3,1,20848
2019,11,7,13386
1998,7,6,12995
2015,4,5,22695
2013,1,6,11207
1998,4,5,22491
2015,4,7,14783
2018,6,3,24445
2012,3,4,25858
2000,7,1,32430
2006,9,2,23272
