_1,_2,_3,_4
2011,12,19,16724
2001,2,5,15743
2002,1,2,13922
2014,9,7,15502
2004,7,4,16309
2006,5,2,19356
2006,9,29,20084
2016,10,3,16085
2017,3,14,11932
2018,12,10,19416
2019,5,4,16860
1996,11,3,14137
1998,1,1,12949
2007,12,18,20368
2009,11,18,17375
2010,4,6,17533
2020,6,3,5911
1999,4,6,15129
2001,11,24,12540
2001,7,23,17116
2012,10,28,15687
2014,12,17,15744
2004,2,16,19566
2015,5,29,16872
2007,9,10,20185
2010,6,29,18738
2020,1,21,19036
2004,4,24,17087
2004,8,23,20538
2012,5,24,17660
2015,3,28,14238
2016,3,10,15896
2015,6,27,14604
2018,1,20,29576
1998,6,22,14821
2010,5,27,18212
2012,3,25,16657
2001,10,9,14411
2001,6,2,15309
2002,9,14,12798
2003,8,12,18195
2004,11,5,20145
2013,2,22,17525
2015,12,24,12903
2016,6,10,16751
2005,10,2,18531
2005,6,9,20330
2017,11,2,15814
2018,8,1,21306
1996,7,28,14249
1998,5,26,14826
1999,8,7,13746
2002,4,14,14090
2012,6,11,18023
2013,11,7,18062
2015,9,28,16471
2016,4,25,16034
2000,2,11,14993
2008,12,21,15866
2010,10,28,18246
2016,1,26,14178
2018,7,19,21744
1996,2,24,12964
1998,8,26,14891
2007,5,21,20969
2002,6,21,15093
2013,8,21,18246
2016,11,30,15233
2016,7,31,15973
1996,4,16,14647
2002,11,30,12321
2007,3,20,20890
2008,3,2,19095
2009,10,7,17385
2019,8,26,21605
1997,9,23,14864
1999,11,24,15782
1999,7,17,13524
2010,1,12,16679
2011,4,13,17028
2011,8,12,18366
2002,5,3,14701
2004,3,1,19387
2013,10,18,18180
2014,5,12,15639
2015,4,12,15916
2015,8,13,17092
2006,1,3,19290
2007,8,23,20039
2008,6,18,20519
2018,4,4,19494
2019,1,27,18322
1997,6,1,14344
2010,12,16,17759
2002,12,26,13947
2013,7,10,18154
2015,1,8,15113
2019,7,30,21603
2000,10,7,13799
2008,4,17,20507
2019,2,25,19479
2003,3,19,17676
2005,5,26,20345
2005,9,29,19531
2017,10,23,16236
2017,6,8,16725
2006,10,25,20057
2008,7,7,20719
2009,2,11,17292
2020,3,11,21005
1998,2,13,15034
1999,3,12,15080
2011,12,25,12958
2012,7,6,17050
2000,3,6,15440
2002,1,4,14190
2003,4,5,15024
2016,2,13,11966
1996,3,9,13083
2006,5,4,20082
2006,9,7,20311
2007,4,4,20768
2008,10,25,14311
2019,5,14,20538
1997,2,6,14918
1998,1,11,13659
1999,12,8,15554
2003,10,26,16263
2011,1,19,15957
2000,6,22,15621
2001,11,18,13630
2014,12,31,12994
2006,12,17,19201
2009,1,28,15406
2011,7,22,17948
1997,11,23,14053
2012,12,30,15594
2014,10,19,15901
2004,4,18,18720
2004,8,9,20442
2006,6,16,20364
2016,3,4,15727
2018,5,13,19370
2019,12,15,20143
1997,5,18,14176
2001,2,3,15008
2012,3,3,13902
2014,9,1,15780
2000,7,3,13324
2003,8,10,17616
2004,11,15,20057
2004,7,14,19015
2015,12,6,15028
2017,3,8,15578
1996,11,5,14804
2007,12,8,16429
2009,11,28,16387
2018,8,31,20807
2020,6,25,8528
1997,10,2,14956
1998,5,28,14623
2012,10,26,17447
2013,11,9,13914
2015,5,23,12792
2015,9,22,15542
2018,2,26,19820
1998,3,28,13293
2007,9,12,20447
2010,10,22,18448
2010,6,23,18185
2018,7,25,21090
2020,1,27,20235
2001,1,20,14371
2003,7,14,18466
2015,3,26,16797
2016,11,24,9784
2018,1,30,36328
1996,4,26,14689
1998,6,24,14814
2008,3,12,20247
2009,10,13,16868
2010,5,5,17900
2010,9,10,18375
1999,7,23,14763
2001,10,7,13855
2001,6,24,16870
2011,8,10,18085
2012,11,15,17391
2013,2,12,16184
2014,1,5,13274
2004,3,27,17131
2005,6,7,19839
2015,4,10,16570
1996,7,22,14941
2007,8,29,20784
2019,1,21,18858
2004,9,24,20068
2012,6,17,17454
2016,4,19,15625
2016,8,28,15369
2002,12,16,14234
2008,12,15,17664
2015,1,18,13703
2019,7,20,18777
2007,5,31,20997
2010,2,18,18060
2013,1,23,16486
2016,7,1,16583
2005,5,16,20344
2005,9,27,19123
2007,3,18,19912
2017,10,13,16196
2017,6,14,16260
2018,9,10,20702
1996,12,14,13248
1997,9,13,13165
1998,10,3,12928
1999,11,6,13463
2009,2,1,16520
2010,1,6,17128
2011,4,3,16078
2002,5,29,14840
2013,10,24,18157
2014,5,6,16459
2015,8,3,17255
2005,2,4,19744
2016,2,19,15343
2018,4,10,19756
1996,3,19,14339
1997,6,15,14582
2007,4,2,20967
2008,10,31,18257
2010,12,22,18285
1999,12,22,15666
2003,10,20,18337
2005,12,29,19165
2011,1,29,13082
2013,7,20,16104
2000,10,29,15171
2000,6,28,15460
2008,4,27,19406
2019,11,19,20664
1999,10,19,15601
2011,11,29,15573
2011,7,28,18120
1997,11,25,14930
2002,2,10,13693
2003,3,9,17368
2014,10,29,15863
2005,1,15,32992
2006,10,19,20205
2006,6,10,17754
2008,7,25,20796
2018,5,7,20740
2019,12,5,21161
2020,3,13,21753
1997,5,24,13116
1998,2,7,12852
1999,3,10,15028
2009,6,6,16049
2011,12,31,12796
2001,2,9,16427
2002,1,14,14326
2003,4,11,18106
2013,6,5,18150
2014,9,27,11805
2000,11,4,13998
2004,7,8,20131
2006,5,14,18840
2006,9,1,20325
2009,8,27,18540
2017,3,18,13825
2018,12,6,20231
2019,5,16,21402
1997,2,28,14872
2007,12,6,20656
2012,10,16,16569
2017,5,17,16029
2008,8,6,20524
2009,1,18,16059
2015,5,17,15911
1998,3,26,14937
2010,6,17,18938
2012,12,24,13719
2003,7,4,14383
2004,4,12,19844
2004,8,3,20102
2015,3,16,16825
2019,4,1,20928
1997,1,7,14755
1998,6,2,14582
2010,5,15,14859
2010,9,12,17212
2012,3,5,17220
2000,7,5,15566
2001,10,29,14429
2001,6,30,15661
2003,8,16,15825
2013,2,2,13110
2014,1,15,15134
2015,12,12,12015
2018,8,21,20042
1996,7,16,14965
1997,10,8,14921
1998,5,22,14856
2001,12,26,14398
2004,5,29,16827
2004,9,30,20029
2012,6,23,15593
2016,4,21,16068
2016,8,22,16381
2018,2,28,19484
2007,6,28,20169
2008,12,1,18336
2009,5,9,14962
2010,10,8,18459
2001,1,26,16934
2007,5,25,21164
2012,8,19,16806
2002,6,25,14983
2003,11,3,17948
2016,11,2,15259
2016,7,11,16827
2017,2,7,14386
1996,4,4,14713
2007,3,24,17927
2009,10,11,16976
2018,9,12,19936
2019,8,14,21398
2020,7,2,10124
1997,9,11,14690
1998,10,13,14989
1999,11,12,15597
1999,7,13,15418
2010,1,24,15907
2012,11,1,16767
2002,5,23,14971
2004,3,29,19802
2013,10,30,17610
2015,8,25,16275
2005,2,10,19750
2007,8,3,21195
2010,11,25,11896
2018,4,16,19802
2010,12,28,17176
2002,12,22,13652
2005,12,23,19304
2013,7,30,18763
2015,1,20,15051
2016,12,17,12626
2019,7,18,21016
1996,5,21,14370
2000,10,19,15530
2008,4,29,19964
2010,2,20,14813
1999,6,20,14767
2001,5,1,17217
2011,11,19,13556
2013,1,29,15701
2003,3,15,15569
2004,12,2,19898
2005,5,22,19348
2005,9,1,19860
2017,10,11,15790
2017,6,4,15767
1996,12,8,14067
2006,10,13,19993
2007,11,12,21014
2008,7,19,18034
2020,3,7,18013
1998,2,1,13997
2011,12,5,16323
2000,3,26,15012
2002,1,16,14092
2008,1,31,19096
2016,2,25,15305
1996,3,21,14672
2006,9,11,19441
2007,4,8,19841
2011,2,26,13961
2019,5,26,17083
1997,2,18,15015
1999,12,28,15396
2003,10,14,17897
2000,6,26,15375
2005,8,16,19966
2017,5,31,16191
2017,9,28,16277
2019,11,25,20347
1997,8,30,13483
1999,10,21,15683
2009,1,8,17745
2011,7,26,17960
2002,2,12,14401
2012,12,18,16082
2014,10,7,15946
2000,4,9,14758
2004,4,6,19504
2004,8,5,20354
2005,1,5,36560
2006,6,12,20230
2018,5,1,19814
2019,12,27,20892
1996,8,3,13753
1997,5,30,15069
2009,6,12,18967
2012,3,15,17489
2013,6,3,18507
2014,9,21,15733
2000,11,14,15711
2000,7,15,13942
2003,8,30,15280
2009,8,21,18134
2015,12,10,16185
2017,3,28,15760
2018,8,19,20457
2020,6,21,8304
1997,10,14,14988
2001,12,28,14330
2003,2,18,16522
2006,11,28,19983
2006,7,29,18162
2018,2,22,19665
1998,3,16,14840
2009,5,7,18198
2010,10,2,14656
2010,6,11,18782
2003,7,2,18298
2012,8,21,17191
2014,2,11,13761
2015,3,14,14272
2016,11,12,12182
2017,2,13,14804
2018,1,10,37052
2019,4,7,19811
1996,4,14,14004
1997,1,13,14091
1998,6,4,14565
2009,10,17,14044
2010,5,9,17247
2020,7,12,12326
1999,7,3,13277
2001,10,27,12663
2001,6,20,16998
2012,11,27,16021
2014,1,9,15505
2004,3,23,19629
2009,12,22,17769
2015,4,30,16770
2007,8,9,20814
2010,7,30,18977
2012,1,24,15294
2004,5,27,19502
2004,9,20,20000
2012,6,29,17954
2015,2,27,15626
2016,4,15,16055
2016,8,16,16031
2007,6,22,21291
2015,1,30,15938
2018,10,18,21104
2019,7,8,22011
2020,8,15,11923
1998,7,21,14696
2001,5,15,17145
2001,9,12,1
2002,6,3,14808
2003,11,9,17464
2013,1,27,15456
2016,7,13,16407
2005,5,12,20381
2005,9,15,19311
2006,2,3,19084
2007,3,6,20638
2017,10,1,15300
2018,9,6,19670
1996,12,2,14995
1997,9,1,14493
1998,10,23,15083
1999,11,10,15441
2010,1,18,17198
2002,5,17,14754
2013,10,4,18061
2015,8,31,16636
2016,5,26,16105
2000,3,20,15126
2008,1,21,19606
2018,4,22,19838
1996,3,31,13989
1999,9,25,13507
2007,4,22,19844
2011,2,20,14982
2013,4,29,18471
1999,12,26,14806
2002,7,22,15119
2003,10,8,17899
