origin,dest,passengers
10821,13342,1371575.6798999994
14492,13244,279672.2647999999
11259,11433,106498.3246
13303,15356,304.47
14057,10713,760489.7885999996
13232,14679,1112062.1585999997
11041,14908,22.712999999999997
12451,14814,66.93
15376,11540,7921.473
12992,15919,162.7613
15304,11298,4030493.0766999996
11109,10397,1365610.3280000004
12191,10994,268883.7553000002
10994,13487,2217.5125000000003
13342,13204,1825269.83
14576,13487,105473.06000000006
10408,11292,23653.651299999994
12266,11481,155219.257
15249,15607,43.58
14635,10529,417095.8025999999
14027,11042,386201.31169999996
14262,14747,1392727.9785000004
14679,14570,848937.0350000008
15304,14679,13044.628799999993
11697,11618,9390854.131899998
11042,14321,93092.60980000002
12889,10299,127563.41850000003
12758,14679,71402.33260000001
14794,14869,924437.5330000004
10397,14679,6542920.350599995
11057,14843,1104866.9598000005
11648,12280,227.495
12197,12953,75.81
15624,12266,595208.7514
13204,13230,215842.98390000014
11057,15304,5055471.251399998
13232,12992,400820.22959999985
11292,12951,13992.602400000002
14107,11648,15004.55830000001
13930,12511,16589.511199999997
16440,14107,465542.50280000054
11288,14952,2232.345
14078,10599,73.98
11973,13422,36.26
12339,11042,579171.2225999996
10821,14321,1213047.063399999
14771,10372,54152.885
13487,10693,1669414.6785999988
13244,14730,190323.2837
13342,14747,335364.40109999967
12264,12892,9233827.9963
15016,14057,100795.97950000006
13244,13377,25013.815000000002
13487,15376,681155.8294000002
11977,13204,380.988
16440,10721,80675.06860000003
13891,15389,152.53390000000002
10868,10599,42.013799999999996
12478,11697,9228539.631300006
10721,14679,914345.4508
14831,10140,18395.596799999985
10268,13930,89901.1673
14321,13232,3677.073300000001
11603,14831,76.63499999999999
14771,12266,7067371.596100004
14107,13871,2865637.3246000013
12448,11278,78245.99300000006
11540,13502,38.085
12264,14524,180887.30919999987
14747,12758,584391.0941
15027,15024,313264.4116000001
12191,10599,971643.2718999998
15356,12339,7179.0687
15376,14908,41.97
13930,12448,144943.0767
10397,15356,87875.38459999996
11577,14122,118829.84580000001
11057,12223,10710.026200000002
14908,14122,254268.64850000018
12278,12892,39561.38960000001
12323,11278,985.415
15016,15454,41.75
14570,14689,42.28
12266,13241,4022.9100000000003
11503,14869,2477.715
14122,11109,42.445
14492,11977,155.555
11193,13198,862187.9523000005
10140,13204,372963.7104000003
13204,13796,6743.5704
13487,11995,1272.1599999999996
12451,10721,522952.9937999999
11292,14457,975677.1495000003
14057,12889,4721518.477000004
15356,13342,6145.5129
14108,10980,72.43
12954,14893,1475754.1540000015
13871,12892,57781.93849999999
11433,11337,2782.359199999999
13121,12264,19601.33500000002
14986,13204,1571.7599999999995
12758,10666,4958.148799999999
10693,14492,1903794.8100000003
13495,12451,63750.62970000002
11292,14771,15406320.086600002
11057,11995,898349.1034000006
12523,10299,3214485.7724000015
15027,14100,54035.566400000025
14543,14869,117075.50669999988
13204,14524,720105.6553999999
11066,11433,1532402.5178999992
12441,13930,661493.0724
11057,14057,219460.55199999994
11057,10257,1459594.8338000015
11278,13296,255979.37249999994
11995,11292,42205.03599999999
12003,15389,144.69
11618,15380,18534.506699999998
11298,15919,1007665.062700001
10529,10693,225388.20719999974
13487,10599,7700.268499999999
11278,12951,1039.3033
14893,11638,194.78000000000003
12397,14122,480.80109999999996
11823,11618,28877.837099999993
12173,14771,9021946.906100003
14771,10140,232375.49389999997
14831,11298,3263064.555
11298,15074,66547.63459999998
12889,10874,33359.570999999974
12173,13796,723438.2389999997
12391,10821,2494268.0413000025
13244,10408,128.385
11057,15295,18535.015000000003
14252,13829,36.15
14869,10279,43.12
11697,13198,310012.0269000001
10685,13487,46818.25000000002
13487,11823,64669.71
11697,14635,42.445
14057,10299,1510811.0887999996
14107,11298,9056698.17730001
10721,10821,6973426.8751
11986,10469,42.75
15304,12953,3931960.2025000006
12264,13204,5785376.356499991
15919,14869,48181.94500000003
14771,10157,931618.2629999998
11433,13459,94484.32500000001
11278,12266,5752150.874000005
11618,10732,588903.4229999998
14893,11298,2022131.6907000004
10821,12448,578593.3755
12892,14492,656040.8284999997
10372,13485,36.475
15380,10397,11453.984800000002
12197,11193,129886.63060000002
12173,13930,2292875.6374999983
12953,12266,8063736.2083
11292,10800,1828246.1496000013
13204,14122,3344187.374699996
12451,10693,1625023.2837999987
12191,14908,201662.04239999998
14771,15389,938.2249999999999
11986,13342,88144.06499999997
10529,11697,1580168.439900001
12012,12266,82564.18580000005
14492,12451,57923.66809999995
11003,10397,331443.7865000001
14122,13342,305528.5789999999
15356,13303,458.856
12892,10693,1853816.1028999998
14696,10397,664844.3118000004
11433,12217,92700.39220000005
13029,10397,21315.99000000001
14122,14696,3784.949900000001
14771,14570,2985799.6725000036
11292,14635,324250.62010000023
10397,14078,1002154.8020000042
13360,11278,20963.928999999982
13360,12264,9558.006399999997
10721,14730,7541.495200000001
12884,13487,306662.14300000004
13303,13244,761047.2152
10693,12217,127.3216
14794,14314,25.872
10785,12264,250970.89460000023
14057,12264,1100665.7991000002
14747,13198,580768.5230999998
11618,13360,53441.0496
12951,11278,1890.1707999999996
11823,13487,65961.27500000002
12945,13367,40.67
10135,10469,38.75
10140,12478,258262.884
10423,14100,325599.9926999998
11697,13244,600025.5958000006
13198,14193,10244.174299999999
11122,12280,42.402
13930,11267,1555088.1900000002
14831,12173,1066357.4466000001
14986,10821,225395.3587999999
14869,15376,846105.8650000002
14100,14986,3376.3026999999997
15412,13232,2515.6984
12892,14794,161890.571
13303,15412,16048.220999999998
11618,13495,2637822.141899998
14771,14262,2636800.2195000034
11298,14771,5565063.713600003
13367,14635,4396.6
13232,15304,1882288.3315
11433,10693,4809274.235699999
10397,13891,1624320.7044000004
13232,11278,1003452.7769999995
14100,11267,70930.79769999998
15356,11042,9507.4315
13930,12954,432638.5542999999
13487,12266,3847503.4252999974
10994,10397,8950886.2511
14107,13198,3661800.5123000015
11042,11423,5936.323499999997
12264,10980,5001.103400000001
15370,14683,23979.250100000005
11697,12945,22686.852499999986
11193,11003,166973.38140000004
13930,11027,40786.619999999995
11721,11057,13158.242499999997
11995,10781,36.15
14696,12945,32.64
13198,11433,2913350.2852999982
12884,10397,42827.60420000003
13244,13342,1340549.6651
11433,14570,48501.44960000001
10728,10397,11781.180000000004
10693,13198,1798546.3535000002
12954,14321,146.826
11433,14831,254436.40190000003
12191,12992,413250.4120000004
12892,11413,2214.3600000000006
15096,14492,897.5969
13204,14730,597033.5510000002
14576,12397,42.825
14492,14193,86.0472
12954,11618,136.278
13303,13930,5213015.881400001
10397,14711,15571.574999999999
10821,14869,1517467.1469
14869,14794,924780.1290000001
12335,11433,39096.03500000002
11292,13388,852.355
15016,14027,3721.1277
14107,11041,30387.981600000014
14986,11042,63247.443899999955
12266,11982,430681.0490999998
10397,12007,664042.1479999999
14107,10279,10056.910000000002
14893,13476,40.66
10693,11278,700992.2190000002
11193,11697,1788335.7364999999
14492,14747,177863.55009999996
14842,11298,434517.5449999996
11298,12441,199601.96339999995
13367,13502,40.36
13424,13891,46.791
14771,14747,15490638.226999978
12945,11146,43.31
14193,11049,43.9569
14730,14771,186.822
13487,14122,1249499.0864999976
12889,14492,525506.9165000004
11259,13244,287759.04750000016
10994,11697,76859.18320000004
14057,14869,5020696.909599993
14869,12191,10576.848099999997
11298,14869,4869126.651699999
10299,10245,176461.2891000001
15304,13296,846081.0302999993
10279,10140,251042.22780000005
12478,14307,37191.213599999995
13486,15389,145.64499999999998
13485,11057,4461.13
15376,12278,41.05
11823,15295,193418.31549999988
12402,12173,6483964.043900022
10693,11433,4885010.4252
14100,13931,507191.64260000014
12953,11721,3569.0919
11109,14747,8882.9408
12264,10529,1518366.9606000024
11066,11292,1471063.2601000003
13204,14747,1008848.1253
15412,11278,1689.2849999999996
12758,13830,997800.0234999994
13424,11638,22.712999999999997
12266,11986,346178.3756000003
10785,13930,1141997.2247000001
14078,11193,10110.345
10693,14107,1012656.1085000011
11423,11278,16908.547400000003
10713,12892,323689.1056999997
10157,10930,125015.96700000002
11292,13964,2279.165
15497,13930,1542.312
12339,13198,960290.6205999997
13930,11097,1218.5700000000002
11775,14108,40.67
12007,10397,658224.9733999999
14831,13487,1948093.9906999997
13931,13204,925679.7342000001
14057,10821,31364.08169999999
11278,13204,4434324.676100001
13244,11618,1223290.2224999997
14696,13930,947902.1434000008
15401,12266,22793.344600000008
14908,11292,7837168.947199994
11298,14107,9328084.131799992
11433,13487,10802887.377100004
11865,14457,41.99
10721,11109,146.142
12389,11292,249038.1197000001
11884,14869,2558350.5692000017
14783,11298,603232.6730000001
10562,11292,3990.5026
10990,14524,36.34
12266,14492,2044349.532700002
10980,12953,1426.865
14193,10821,187.362
12478,11066,219951.25349999988
15304,15356,50806.013399999974
14107,12953,2879.1946
10135,10821,42.445
13487,14307,328079.5731999999
13296,14100,2000003.8912
11057,13277,4025.6907999999985
14893,12191,1719.7235999999998
10155,15411,21.822
11066,13485,117.86999999999999
13422,10397,3447967.554199999
10821,10599,1246899.5740000003
14986,11278,3541.7575
13871,11003,43.12
14869,10721,2608607.5887000016
11638,11298,835307.5881999994
10397,11057,12177068.852100002
14635,11057,3241142.9769
14679,11109,51158.3242
11778,10397,256148.01999999993
12889,12391,173180.55559999993
14685,14512,38.99
12278,13232,173129.4128
11433,11587,130987.84499999997
11648,13829,37.06
11042,12339,529352.6983999994
12217,11292,178334.32559999998
12266,15249,105974.88949999995
14771,14908,7918631.517899991
11637,14107,7835.976999999999
10397,15304,17217242.404400006
10299,12892,610584.3694000002
12280,13487,2354.145
14831,14689,230248.92600000004
14122,12397,1306.3309
12264,12124,130.43
12889,13303,801138.8911
14027,13204,32518.520499999995
13796,14893,437.651
14869,15096,87.04449999999999
11042,11697,1681817.2031999994
14100,11292,5179704.6182999965
14679,11433,2214386.134999996
12197,11057,35829.210000000014
13871,15304,1096.3512
11637,11109,126.22
12339,14307,198.828
12266,12451,1988997.4269999992
11618,14730,658539.8328999997
13871,13487,2810217.578199999
13495,14869,738113.1102999995
14771,13964,188784.12500000012
14193,12451,84878.62440000002
10397,12390,57071.11500000001
12954,12094,3116.5919999999996
11140,16440,469.4074
10721,13930,12676395.577700004
13198,14771,223823.5830000001
10868,11140,66.93
11624,14635,42.165
10423,11003,40.785
12156,11921,69.77
11721,10821,174265.47219999993
13232,13487,5696321.065200007
15412,15304,27957.844999999994
11292,15389,224.28
14683,12266,7099755.051599995
11298,11140,707752.6205999994
12003,10849,116.805
11637,15016,37.955
11637,11618,41.8506
15370,12266,2803080.213100001
14730,14783,41.05
11278,11057,4762990.0492
13367,11193,55690.5848
11618,15376,89056.526
14524,14098,38.99
14492,11697,714799.1170999993
12264,14307,284153.8137000001
13244,14107,707258.6286000004
14489,14747,19890.695999999993
13303,15249,170227.80250000005
10257,10821,2697329.3024000023
14108,13367,3949.469999999999
10529,11278,1243965.0055999996
11618,13198,1828009.5785000017
13487,15380,166624.5286000001
13277,10397,2407927.8130999967
14122,11267,26668.421700000006
10849,11122,40.425
12954,11884,37.2045
10785,12478,2008484.9738000014
13796,10397,781281.2171
10713,11638,2749.2000000000007
11721,12889,124224.21139999994
14122,15016,175169.79119999995
13930,15016,4076464.580399999
14747,14771,15381957.216999967
14986,13232,428085.9503
11433,14574,27718.895000000015
10279,11259,2854315.7181000006
14122,11423,42.445
15304,11292,2999441.6026000027
13204,13851,23326.869199999983
10821,14747,283643.5874000001
13851,11433,155839.32539999994
12266,10136,27194.27329999999
14107,12478,4825217.369100006
12889,13296,208544.1499999999
11292,13296,68935.5745
11292,10994,28681.167099999962
14843,15027,117828.82960000001
15295,11823,190607.87099999996
13495,11973,83.42069999999998
11433,13244,4208893.267599997
11278,12889,565222.8572000003
11057,14122,4603512.250599997
15304,12217,21489.285
13487,12389,243354.75000000012
14869,11092,18413.670000000002
13930,11471,298673.5450000002
11637,11298,7696.1278999999995
14783,13198,154.829
11292,15041,12035.019999999997
10185,10423,35.225
14771,10721,8602983.373700004
14893,11433,28533.455600000005
13232,11193,325490.3102000002
10423,11278,45230.422599999954
13204,12278,11320.342500000002
11278,12197,2665.5199999999995
13230,10135,146049.41519999996
14747,12441,2359.4450000000006
11977,11433,1551786.6782999993
14747,14828,330508.2381
14321,10721,59780.346300000005
11067,11193,50403.890999999996
12511,11298,77750.48429999997
10666,11292,21816.647299999997
10529,13303,104376.4366
11413,13930,572.1700000000001
11537,14122,1296.4531
14908,14683,2042.846
14679,13930,6868146.050499997
14730,10397,5326051.590200004
10257,10529,135.2805
14771,14492,417943.29019999993
14057,11259,69596.37559999996
14869,11423,59223.43000000001
12992,11193,353033.7326999999
10372,13502,406.71000000000015
11618,12478,691.5960000000001
11337,13487,1760514.2998999993
12339,11057,1685588.0074000002
11996,10693,111049.93590000007
14193,10423,2093.2331000000004
11193,15070,412155.03609999985
12278,14869,14889.379999999996
14112,13342,9540.462399999999
12266,12892,10563779.358100008
11648,14771,2821.0449999999996
10713,13796,931119.3866999996
11067,11057,19467.1919
14893,13851,18201.930600000003
12889,13290,42.885
15024,15027,368354.5244000002
14771,15376,284827.76239999995
11423,15016,197011.89930000002
11146,12945,41.095
14635,13232,1379838.4715000016
13933,14027,152.154
14747,13487,8403589.1223
11823,11193,319834.7829000001
10994,13342,38.83
11423,11921,82.19
12889,10257,304606.2295
12129,12343,32437.205000000005
12478,14570,88283.41200000001
11292,14783,532889.7992000001
10397,12278,2560525.596100002
14543,14534,2183.4850000000006
11721,15304,280622.5421000002
11193,12448,172284.665
12892,12094,28751.196600000003
10693,13422,43.278600000000004
15016,11267,3843.4704000000024
10693,13290,41.75
12003,11122,38.76
11775,12888,43.675
10721,12191,415626.71849999984
13342,10874,117943.62319999999
14908,12191,199034.7534000001
13296,11697,69198.89669999998
13930,11274,310646.66120000003
11298,15048,34313.756000000016
15041,13829,22.236000000000004
11699,10208,72.43
12954,12264,1217789.9936000002
12266,10397,9117675.50889999
10257,13930,2343573.7444999972
14492,13198,100398.85870000001
14831,13232,426591.94859999995
11618,10140,79632.52529999996
10140,13930,888192.5972999996
13244,12217,57114.26730000001
14262,14057,438620.2626999999
14831,11638,152.125
13198,11423,84.2628
14057,14113,114.77
15376,13198,20576.398800000003
13487,10620,1260158.0153999992
13832,12264,16304.695
10713,11259,1335.8016000000002
11823,14696,73.98
10599,11193,714427.6848999999
12953,10821,465400.63940000004
10620,12441,14077.380099999997
15016,14679,384533.2997999999
11995,11298,296353.30770000006
11292,11503,616816.7823000002
11193,15412,350512.40819999966
13487,14696,173277.85489999992
11292,13487,10923480.247400017
14100,11433,5356120.954699996
13487,13433,1386530.3683
14771,11423,462.114
13204,14635,967872.9952999998
13342,13341,40.635
12264,13796,1368771.1689999995
12173,14869,1674109.7309000022
12012,10397,88682.54859999998
12339,10721,221845.40290000016
11066,10693,959453.7749999989
10361,14100,41.38
12478,15016,509343.59310000035
10721,16440,51965.68309999999
13930,11337,493298.04879999976
14794,12892,161419.04400000008
13232,10423,860646.9029000003
14524,10397,7864102.1084999945
14100,11193,1718810.1639999994
14492,10599,25320.627900000014
14683,12892,1455055.4510999995
12889,14689,60117.660400000015
11973,13930,8676.054000000002
14986,12264,7314.229999999999
15016,14908,496536.5609
14107,11193,2139117.7886
14193,11193,30281.601600000005
12896,12889,561509.0374999994
15401,15411,43.437
15376,12266,1641400.0744000033
10980,11193,155888.44199999995
11298,12896,864202.0701999998
14492,13232,1307756.2411
12191,11481,591487.1075999999
10990,10397,804205.7462000008
11292,12094,519164.22240000044
10821,14683,984133.8138
11292,12217,178172.14540000012
13930,11193,4444593.879399996
10397,15919,1460857.846799999
14908,12892,278833.66410000017
10257,11057,1437262.646600001
10849,14771,112232.05649999996
12953,10990,84777.85270000005
14252,14113,72.3
12992,13930,737073.6488000003
10397,14893,2279062.584899999
14747,12982,651981.6375999999
14100,13232,2516526.3405000013
14679,14747,6115096.788000008
10713,11292,3213470.1576000056
11193,10408,172098.17539999986
13830,14831,812707.7395000005
11041,12892,679231.6570000001
11057,14685,1306115.662300001
12892,13342,640755.7399000006
14122,15096,151213.49520000006
16869,13487,9824.345
11066,11481,25.535700000000002
13034,13347,24670.625000000004
10693,14524,43.695
10693,13296,44410.73479999999
12953,12889,4161.834000000001
14783,11921,40.36
14492,12478,1356267.2096000009
11278,14771,315201.4649
11140,12191,2422507.619299998
11292,10792,26719.004500000017
12339,11612,41.045
15041,14113,92.556
12892,13127,39.73
11433,12191,284213.75850000005
11481,11066,25.535700000000002
14869,13796,3767250.2889000005
14908,14893,3620098.8075
14321,14122,121538.0361
11092,14869,18413.670000000002
11433,10431,27770.876999999997
10397,15027,104038.56559999996
11433,10785,105890.84210000002
13388,14908,6992.419999999999
12280,13829,36.15
14100,14843,1977443.9851999998
12266,11057,4630031.1347000105
11995,13930,1014645.2945999996
11109,11298,2895476.7612000005
11298,14078,21069.169999999987
15304,13198,859902.2307000005
11042,14696,5158.601899999997
12954,10792,145.62
10713,13127,41.015
14730,12953,93092.93909999993
13485,14869,50728.0067
10747,12266,1265789.8160999995
13303,11433,2707151.606400003
11775,10397,194391.89000000007
12889,10821,1960182.6873999985
15070,11193,410544.23359999974
11057,13296,582183.1465999999
13277,12266,59698.9617
15370,11049,30.169800000000002
10423,11775,41.05
14679,14908,157.48
14635,14107,147.312
13244,11003,37.205
13495,12191,5042477.6716
14122,14576,290662.21830000007
13204,11109,26380.732500000002
13204,13495,1963651.2338
12391,13232,854240.4403000002
15411,11298,341436.2936000001
13377,11150,80.98
14574,15016,80.47
11193,10208,38.085
13577,10721,15044.013600000011
14783,13342,40.67
12223,11146,78.74
10994,13851,43.315
14635,12339,1092304.2055000002
10821,11252,12312.637500000003
11193,13303,1336358.7464000003
14252,13487,92512.67759999994
11540,12191,1507962.6776999997
14679,12339,7760.743200000001
12441,15389,40.164
10721,13204,6338858.8518
11423,11298,869887.5628999994
13487,13485,2660931.7857000045
12519,11447,149668.87999999992
13930,15048,87567.48700000002
15370,13930,1486439.4268999991
12889,15016,1870466.9823000005
14783,14696,77.025
11193,12478,1817047.409400001
13244,14679,47984.748599999984
12343,13487,131894.41
11233,11298,27651.865000000013
11433,14711,123358.96500000001
12266,11146,268008.1199999999
10821,11298,2524106.932699998
10693,14696,39.45
10423,12889,1508124.0526999987
14843,14492,1529.658
11146,11823,36.34
12266,10868,333973.6501000002
11996,11057,239692.24240000005
14685,13303,45982.099799999996
14683,14952,40.45
13796,12954,3481839.5940999975
13830,11292,549368.3574000001
10170,10299,1390807.6329000005
15376,10397,1393688.8416
14689,14831,230911.44500000007
14893,14489,40.45
13342,12264,147.09599999999998
15624,12953,450.9500000000001
10721,15016,1112488.7158000004
14635,11259,9691.815199999997
11884,13232,37452.3537
16440,12889,99206.1847
12266,12896,965208.4063999995
13891,14107,7558460.413600008
12892,10849,46000.525200000004
13388,14679,8088.270000000001
11423,11203,38.035
15304,14524,9891.031800000008
14679,10821,585319.3615000001
12478,10577,776.16
14730,13487,521592.9555999995
11122,14869,508548.9810000002
14122,14843,42028.20200000001
10257,12953,148.2454
11292,12266,10102256.909900006
13930,11076,308411.9650000001
14570,13232,299153.3448000002
14783,15919,85.58
10643,10693,2144.6877
10874,15412,41.0805
11637,13485,85.565
10721,14027,3547124.244200002
11003,12266,44925.46889999998
14709,10754,931444.4505000005
12264,13832,16395.585000000006
15016,11292,3827592.712899997
10397,10599,7682793.636599996
13303,11996,39663.057
12451,10135,43.069500000000005
10529,10721,328.92949999999996
12892,11433,5976663.336500005
13232,13296,1203807.5315000007
13232,10874,78433.63220000001
11995,10792,40.655
11973,15624,44.0793
13487,11618,5128842.931300001
11468,12899,3832.4600000000005
12992,13204,9807.8603
10423,14492,106275.0270999999
14122,10257,307752.0356000001
11986,11042,485491.2997999998
14783,11292,505725.6445000001
10154,11618,60467.40960000001
11292,12982,217619.63130000004
11278,14869,1226862.494199999
10821,14107,3005872.221299998
10581,14307,206345.42399999985
15370,11423,40.67
10721,11298,4985372.993400002
10397,13422,3593317.7459999956
13930,11823,1156945.4430000002
10581,14321,375074.5025000001
11292,13502,630009.8019000001
10434,13930,428698.01040000014
10397,15024,2133971.9159000004
11283,11292,8592.854999999998
15304,10257,446431.4092999998
11298,10136,513626.419
11973,13204,4520.364999999998
10397,11042,5499995.09420001
10599,11298,1177247.5566999994
12320,10397,32415.99900000001
10140,10821,546899.7268999998
11292,14113,116.385
13796,14262,64.4
14100,13487,4131379.624900003
11721,11697,24336.9235
13204,11259,328356.8681000002
14524,13930,1940845.8761000007
14492,13204,2077666.5205000008
13244,12892,2683302.852200001
12902,11292,31170.14000000001
13198,11278,407184.7355000002
10721,12391,9929.891999999998
11042,12448,66.93
12478,12191,700122.0071999999
11292,12953,8279776.247900008
14574,10397,1233482.3367999988
12523,12819,1263332.826100001
15027,10397,101707.11199999995
12217,10423,150.055
11697,14107,1221158.9703999998
13121,14574,9965.145000000002
10721,13796,577345.1580000002
15023,11292,15209.645
13891,14893,4165825.292200003
13930,10577,84.41499999999999
13256,11298,1306920.0540000002
13244,12451,398425.8511
15016,14107,3689586.7355000023
11778,13244,17514.550000000003
11423,13244,42829.93339999997
10821,13198,1362012.6015000008
11278,10874,28750.797199999983
11278,11986,13953.392099999995
14570,12954,169360.80239999996
14635,11193,1604786.7492999984
13851,12889,801534.5100000006
10666,14113,36.89
11042,14635,1296632.0890000004
12884,13930,738072.4025999997
11259,12953,485641.6091999999
10721,14122,1604598.9583000017
11066,11057,566690.3007999999
13930,12173,2297151.310899999
11193,11433,1090006.7055999986
12992,13487,5743.446000000002
15370,11109,314.57
12478,12892,22464602.70669997
12197,13367,41.35
11097,12280,20.58
11292,15370,2922825.1005999995
12758,13796,236822.03470000002
15016,15356,4975.9708
14831,12892,7632460.770599994
14122,11193,833570.5151000002
12953,10792,395053.6705999999
10158,11193,68940.08460000006
14122,16440,23183.571500000005
13230,12264,111653.46510000002
11292,11042,2713234.632700001
14307,13930,2914180.073499999
11057,14771,1809112.2173000006
13158,10140,282264.07639999996
11298,14952,112379.64499999999
10423,14108,74.695
11066,12953,604341.2049000006
14107,14262,1116456.4497999994
14078,10423,40.36
11109,14893,36987.275700000006
13502,11618,63632.91300000002
14570,11259,8434.7123
11066,13198,22819.11999999999
11996,12264,345546.0539000005
13204,13303,1952585.2342999983
11267,14100,66696.4289
15919,12953,107655.39899999996
14321,14492,764.982
13476,11292,142558.95499999987
10821,10693,3098885.6509000016
13296,11292,67677.22720000002
14633,11042,44.065
13930,15370,1473970.6596999995
14100,11042,1152915.9221
12889,12451,197737.86409999998
14635,12391,126952.53490000017
11298,10627,31818.937600000005
10713,11603,41.99
13342,15389,36.15
12478,10732,1009608.9712000001
14869,14689,239599.45400000006
11603,13264,310.13599999999997
14831,13204,5634.2286
15016,10821,2440509.4925000006
11298,12758,14057.811900000002
10821,13485,42.445
10721,14262,5997.131999999999
12892,14570,2158574.5654000007
11292,13230,36090.7304
15356,14492,72182.71709999997
11775,11122,41.1
13930,11577,109816.73750000002
14683,10140,36679.35539999999
12892,14771,26098545.911899917
10397,13184,1080.21
11823,11298,190422.24870000008
